ATT001,ATT002,ATT003,ATT005,ATT01,ATT02,ATT03,ATT05,ATT_1,ATT_2,ATT_3,ATT_5,ATT1,ATT2,ATT3,ATT5,ATT10,ATT20,ATT30,ATT50,,R_LATITUDE,R_LONGITUD,R_RAINHEIGHT,R_ALTITUDE,R_RAINHEIGHT2,R_HEIGHT,R_ANT_BEAM,ANTEN_DIAM,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,DURATION,FREQUENCY,POLAR,ELEVATION,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_RES,FLAG1,FLAG2,FLAG3,FLAG4,RAIN_TIME,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG5
0,0,0,7.849304395,5.628829222,3.414985625,2.562780354,1.744096526,1.069781673,0.685299474,0.514283872,0.326024345,0.171822208,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,5,365,19,86,21,0,0,0,0,0,0.01,1.00,0.03,1.00,0,0,0,0,92.1,66,40,30,20.4,12.5,8,6,3.8,2,0,0,0,0,0,0,0,0,0,0,0,22.2,18,16,12.3,8.6,5.1,3.8,2.2,1,0,0,0,0,0,0,0,0E
0,0,0,9.973460119,6.997238601,4.107820167,3.025011033,2.007169055,1.192162466,0.741633015,0.546140766,0.33598614,0.169761765,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,6,365,19,4,21,0,0,0,0,0,0.01,0.50,0.03,0.50,0,0,0,0,92.1,66,40,30,20.4,12.5,8,6,3.8,2,0,0,0,0,0,0,0,0,0,0,0,25,21,19,14.3,10,6,4.5,2.5,0,0,0,0,0,0,0,0,N
0,0,0,5.842805669,4.478061353,2.848188358,2.217504611,1.553505452,0.964601516,0.654181601,0.521720209,0.372167455,0.240896963,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,7,365,19,69,41,0,0,0,0,0,0.01,0.30,0.01,0.30,0,0,0,0,65,50,32,25,17.6,11,7.5,6,4.3,2.8,0,0,0,0,0,0,0,0,0,0,0,25,17.3,14,9.7,6,3.5,2.5,0,0,0,0,0,0,0,0,0,N
0,0,0,6.497158871,4.93768833,3.31871949,2.391148199,1.774655207,1.013003272,0.707009603,0.537310713,0.397670212,0.242082183,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,8,365,19,21,41,0,0,0,0,0,0.01,1.00,0.03,1.00,0,0,0,0,65,50,34.2,25,18.8,11,7.8,6,4.5,2.8,0,0,0,0,0,0,0,0,0,0,0,27,20.2,17,11.9,7.4,4.4,3.2,1.8,0.8,0,0,0,0,0,0,0,0E
0,0,0,7.332890979,6.219097984,4.337642451,3.533648953,2.455727424,1.488818781,0.809501893,0.563728269,0.35392377,0.188714546,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,9,780,19,90,43.5,0,0,0,0,0,0.01,1.00,0.01,1.00,0,0,0,0,82.4,70,49,40,27.9,17,9.3,6.5,4.1,2.2,0,0,0,0,0,0,0,0,0,0,0,24,18.6,16,13,9.8,6.4,5,2.3,0.8,0,0,0,0,0,0,0,0E
0,0,0,13.61569016,10.00065568,6.289724927,4.818751594,3.371573564,2.142136954,1.416980674,1.085592448,0.711168094,0.392498367,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,10,365,28.6,86,21,0,0,0,0,0,0.03,1.00,0.20,1.00,0,0,0,0,92.1,66,40,30,20.4,12.5,8,6,3.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21.4,15.6,11.1,7.9,5.3,3,0,0,0,0,0,0,0,0E
0,0,0,10.33021698,8.083464206,5.326212735,4.228640973,3.045894392,1.962942783,1.372222124,1.113871037,0.815808795,0.546297477,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,11,365,28.6,69,41,0,0,0,0,0,0.03,1.00,0.03,1.00,0,0,0,0,65,50,32,25,17.6,11,7.5,6,4.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,18.9,13.4,8.1,6,3.6,1.8,0,0,0,0,0,0,0,0E
0,0,0,12.74963004,10.95044489,7.851401002,6.497381017,4.643061106,2.924950938,1.666365096,1.193061476,0.776233332,0.434323419,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,12,780,28.6,90,43.5,0,0,0,0,0,0.02,1.00,0.30,1.00,0,0,0,0,82.4,70,49,40,27.9,17,9.3,6.5,4.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22.3,17.2,12.4,10.2,7,4.2,0,0,0,0,0,0,0,0E
6.482139553,5.023942187,4.33155549,3.555145405,2.721320946,1.769870867,1.374883246,1.017075532,0.676219323,0.358409069,0.247589554,0.153472039,0.079240047,0,0,0,0,0,0,0,,38.5,283,4.014,200,3.814,0,0,0,0,0,0,0,0,0,1,365,11.7,45,29,0,0,0,0,0,0.01,1.00,0.00,1.00,0,133,106.8,94,79.3,63,43.5,35,27,19,11,8,5.3,3,0,0,0,0,0,0,0,0,0,17,12.9,8.9,5.9,4.6,3.1,1.8,1.2,1,0.6,0.3,0,0,0,0,0,0,0,SE
6.312615246,5.056741326,4.438788501,3.518719299,2.571385285,1.545110788,1.149484735,0.789071986,0.474280453,0.283889261,0.21201729,0.140101761,0.079240047,0,0,0,0,0,0,0,,38.5,283,4.014,200,3.814,0,0,0,0,0,0,0,0,0,2,365,11.7,45,29,0,0,0,0,0,0.01,1.00,0.01,1.00,0,130,107.4,96,78.6,60,38.7,30,21.7,14,9,7,4.9,3,0,0,0,0,0,0,0,26.3,22.3,20.3,16.3,12.1,7,5.1,3.6,2.2,1.5,1.2,0.8,0.5,0,0,0,0,0,0,0,SE
