STATION_NO,R_STATION,R_CTRY,R_LATITUDE,R_LONGITUD,R_ALTITUDE,R_RAINHEIGHT,R_HEIGHT,R_ANT_BEAM,ZONE,ANTEN_TYPE,ANTEN_DIAM,FEED,PROT_RAD,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,SATEL_NAME,SATEL_POS,TYPE,START_DATE,END_DATE,DURATION,FREQUENCY,POL_L_C,POLAR,ELEVATION,RAIN_CONC,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_GAUGE,RAIN_RES,RAIN_TIME,LOC_GAUGE,ATT_E_T,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG1,FLAG2,FLAG3,FLAG4,FLAG5,FLAG6,FLAG7,FLAG8,REFERENCES_EXP,COMMENTS
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,10,ITALSAT,13.2,BCN,01/01/1997,31/12/1997,365,18.68,L,90,37.7,Y,,,,,,,,,T,58.8,50.9,44.8,39.2,29.9,19.2,14.8,11.2,7.5,5,3.9,2.5,1.3,0.6,,,,,,,20.9,19.1,17.8,16.5,13.6,10.5,8.3,6.8,4.7,3.3,2.7,2,1.2,0.8,0.7,0.6,0.5,0.4,0.3,0.3,1.00E-03,2.00E+00,1.00E-02,1.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,11,ITALSAT,13.2,BCN,01/01/1997,31/12/1997,365,39.59,C,45,37.7,Y,,,,,,,,,T,58.8,50.9,44.8,39.2,29.9,19.2,14.7,11.2,7.4,5,3.8,2.5,1.3,0.6,,,,,,,,,,,,36.5,30.1,23.6,15.5,10.2,8.2,6.1,3.7,2.3,1.8,1.4,1,0.8,0.7,0.6,1.00E-03,3.00E+00,2.00E-02,1.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,12,ITALSAT,13.2,BCN,01/01/1997,31/12/1997,365,49.49,L,90,37.7,Y,,,,,,,,,T,23.9,20.4,18.5,15.8,12.5,10,8.7,7.5,5.8,4.2,3.3,2.2,1.2,0.5,,,,,,,,37.9,36.1,34,31.2,27.7,25.9,23.3,19.2,14,11.7,9.4,6.5,4.6,4,3.4,2.9,2.6,2.4,2.1,1.00E-03,2.00E+00,1.00E-01,1.00E+01,0T,,,,,Missing 49.4 hours of beacon data during rainy periods (this reflects on rain rate cdf)
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,13,ITALSAT,13.2,BCN,01/01/1998,31/12/1998,365,18.68,L,90,37.7,Y,,,,,,,,,T,53.7,42.5,35.4,26.9,19,12.4,10.2,8.2,5.7,3.8,2.8,1.9,0.9,,,,,,,,20.2,16,15.1,13.9,10.9,8,6.9,5.9,4.7,3.6,3.1,2.4,1.5,0.9,0.7,0.6,0.5,0.4,0.4,0.3,3.00E-03,1.00E+00,5.00E-03,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,14,ITALSAT,13.2,BCN,01/01/1998,31/12/1998,365,39.59,C,45,37.7,Y,,,,,,,,,T,53.7,42.5,35.4,26.9,19.2,12.5,10.3,8.3,5.7,3.8,2.9,2,1,,,,,,,,,,,35.7,31,25.7,22.3,18.2,14.5,11.3,9.5,7.2,4.6,2.5,1.9,1.5,1.1,0.9,0.8,0.6,3.00E-03,1.00E+00,5.00E-02,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,15,ITALSAT,13.2,BCN,01/01/1998,31/12/1998,365,49.49,L,90,37.7,Y,,,,,,,,,T,53.7,42.5,35.4,26.9,18.6,12.3,10.1,8.1,5.4,3.6,2.8,1.9,0.9,,,,,,,,,,39.2,37,34.1,30.9,29.1,26.7,23.1,18.8,15.9,11.8,7.7,5,4.2,3.7,3.2,2.8,2.5,2.1,3.00E-03,1.00E+00,3.00E-01,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,16,ITALSAT,13.2,BCN,01/01/1999,31/12/1999,365,18.68,L,90,37.7,Y,,,,,,,,,T,55.2,51.7,48.9,44.4,32.3,22.1,17.5,11.8,8.2,5.9,4.7,3.4,2,0.8,,,,,,,30.1,28.4,26.8,23,19.5,15.5,13.9,12.4,9.2,6,4.7,3.7,2.7,2.1,1.6,1,0.6,0.5,0.4,0.3,1.00E-02,2.00E+00,1.00E-01,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,17,ITALSAT,13.2,BCN,01/01/1999,31/12/1999,365,39.59,C,45,37.7,Y,,,,,,,,,T,55,50.9,46.3,43,30.7,20.6,14.3,10,7.3,5.3,4.3,3.1,1.8,0.8,,,,,,,,,39.1,37.6,35.3,31.2,27.2,23.7,19.1,14.3,12.1,9.9,6.8,4.6,3.4,2.1,1.3,1,0.9,0.7,1.00E-02,2.00E+00,2.00E-02,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,18,ITALSAT,13.2,BCN,01/01/1999,31/12/1999,365,49.49,L,90,37.7,Y,,,,,,,,,T,54.4,49.2,45.6,41.9,28.8,19.9,12.9,9.8,7.2,5.2,4.3,3.1,1.8,0.8,,,,,,,,,,,,,,34.7,27.6,21.3,18.3,14.9,10.6,7.6,6,4.4,3.1,2.6,2.5,2.3,1.00E-02,2.00E+00,5.00E-02,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,19,ITALSAT,13.2,BCN,01/01/2000,31/12/2000,366,18.68,L,90,37.7,Y,,,,,,,,,T,47.7,43.5,39.1,34.5,26.8,20.4,17.4,14,9.7,6.7,5.3,3.9,2.5,1.2,0.7,,,,,,23.1,20.6,19.2,17.6,14.8,12.2,10.8,9,7,5.6,4.9,4.2,3.2,2,1.4,0.8,0.6,0.4,0.4,0.3,1.00E-02,3.00E+00,5.00E-03,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,20,ITALSAT,13.2,BCN,01/01/2000,31/12/2000,366,39.59,C,45,37.7,Y,,,,,,,,,T,47.7,43.5,39.1,34.5,26.9,20.8,17.7,14.2,9.8,6.7,5.3,3.9,2.4,1.2,0.6,,,,,,,39.2,37.1,35,32,28.8,26.8,24,19.7,15.2,12.7,10.1,7.4,5,3.8,2.6,1.7,1.2,1,0.7,1.00E-02,3.00E+00,1.00E-01,5.00E+01,0T,,,,,
333,SPINO D'ADDA,IT,45.4,9.5,84,3.3407 ,,,K,,,,,,,,,,,21,ITALSAT,13.2,BCN,01/01/2000,31/12/2000,366,49.49,L,90,37.7,Y,,,,,,,,,T,50.2,44.9,42.2,35.5,27.6,21,17.8,14.3,9.8,6.8,5.3,3.9,2.5,1.2,0.7,,,,,,,,,,,,,,31.5,22.8,18.8,15.4,11.7,8.4,6.5,4.5,3.1,2.6,2.5,2.3,1.00E-02,3.00E+00,1.00E-01,5.00E+01,0T,,,,,
334,DUBNA,SU,56.7,37.33,120,2.7512 ,,,E,,,,,,,,,,,1,LOUTCH,346,BCN,01/01/1987,01/12/1987,365,11.5,C,45,12,Y,,,,,,,,,,85.6,70,59.5,52.2,40,30.6,23.2,15.7,9.7,6.2,4.8,3.4,2.1,,,,,,,,,,,,,,,8.1,4.3,3.3,2.9,2.6,2.2,,,,,,,,5.00E-02,1.00E+00,5.00E-02,1.00E+00,SE,,,,,I08
334,DUBNA,SU,56.7,37.33,120,2.7512 ,,,E,,,,,,,,,,,2,LOUTCH,346,BCN,01/01/1988,01/12/1988,365,11.5,C,45,12,Y,,,,,,,,,,65.1,51.8,44.4,33.7,22.9,15,10.8,7.8,5.1,3.6,2.9,2.2,,,,,,,,,,,,,10,6.4,4.8,4.1,3.1,2.3,2,1.6,1.3,,,,,,,,1.00E-02,5.00E-01,1.00E-02,1.00E+00,SE,,,,,I08
334,DUBNA,SU,56.7,37.33,120,2.7512 ,,,E,,,,,,,,,,,3,LOUTCH,346,BCN,01/01/1989,01/12/1989,365,11.5,C,45,12,Y,,,,,,,,,,76.8,56.9,47.5,39.5,28.6,17.7,13.3,9.5,5.3,3.6,2.9,2.3,,,,,,,,,,,,,,9.7,7.8,6.2,4.9,3.7,3.1,2.5,1.9,,,,,,,,2.00E-02,5.00E-01,2.00E-02,1.00E+00,SE,,,,,I08
334,DUBNA,SU,56.7,37.33,120,2.7512 ,,,E,,,,,,,,,,,4,LOUTCH,346,BCN,01/01/1987,01/12/1989,1095,11.5,C,45,12,Y,,,,,,,,,,78.9,59.4,52.7,43.7,32.6,21.5,16,11.1,7,4.4,3.5,2.6,,,,,,,,,,,,,,10.8,8.2,5.8,4.2,3.2,2.8,2.4,1.9,,,,,,,,,,,,ME,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,1,LOUTCH,346,BCN,01/05/1984,01/12/1984,245,11.5,C,45,24.7,Y,,,,,TB,,60,,,52.8,46.8,43.5,40,33.8,27.2,23.8,20,16,13.8,12.8,11.8,10.8,,,,,,,,10.4,9.6,8.8,7.6,6.2,5.4,5,4.6,4,3.7,3.6,3.4,3.1,2.7,2.5,2.2,1.9,1.6,1.3,1,,,,,,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,2,LOUTCH,346,BCN,01/01/1985,01/12/1985,279,11.5,C,45,24.7,Y,,,,,TB,,60,,,157.5,141.5,93.5,82.5,59,42.5,34,22,13.5,11,10.2,,,,,,,,,,10,8.6,7.5,6.8,6.3,5.8,5.4,4.6,3.8,3.4,3.2,2.9,2.6,2.2,2.1,1.8,1.4,1.1,0.8,0.6,,,,,,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,3,LOUTCH,346,BCN,01/01/1986,01/12/1986,201,11.5,C,45,24.7,Y,,,,,TB,,60,,,89,74,65.5,58,43,22,17,14,11,,,,,,,,,,,,,,,,5.7,3.4,2.9,2.5,2,1.9,1.8,1.7,1.6,1.4,1.4,1.3,1.2,1,0.9,0.9,,,,,,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,4,LOUTCH,346,BCN,01/01/1987,01/12/1987,339,11.5,C,45,24.7,Y,,,,,TB,,60,,,83.5,79,70,60,48,30.2,25,18,9,5.2,,,,,,,,,,,,19.7,18.5,17.2,14,10,7.6,5,3.4,2.8,2.6,2.3,2,1.8,1.7,1.6,1.4,1.2,1.1,0.9,,,,,,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,5,LOUTCH,346,BCN,01/01/1988,01/12/1988,272,11.5,C,45,24.7,Y,,,,,TB,,60,,,88,74,59,37,27.5,20.5,17,13.5,7.5,,,,,,,,,,,,19,14.9,13.6,9.1,6.2,4.5,4.3,3.6,2.8,2.3,2.1,1.9,1.7,1.5,1.4,1.4,1.2,1.1,1,1,,,,,,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
335,NEU GOLM,DE,52.19,14.05,50,2.7811 ,,1,E,PARABOLIC,2.5,CASSEGRAIN,NO,12.8,,,,,,6,LOUTCH,346,BCN,01/01/1987,01/12/1989,1095,11.5,C,45,24.7,Y,,,,,TB,,60,,,85.9,71.7,62,49.7,33.5,23,18.8,15.1,11.2,6.8,,,,,,,,,,,15.8,12.8,9.3,7,5.7,4.4,3.9,3.3,2.8,2.4,2.2,2,1.8,,,,,,,,2.00E-03,1.00E-01,1.00E-02,1.00E+00,,,,,,I08. classified as 'total attenuation' by L.Castanet C.Riva (Oct. 2005). C. Riva & L. Castanet. October 2005
336,MIEDZESZYN,PL,52.5,21.18,80,2.7686 ,,,E,,,,,,,,,,,1,LOUTCH,346,BCN,01/01/1987,01/12/1987,365,11.5,L,0,23,Y,,,,,,,,,,51,42,35.6,29,21.1,14.6,11.7,8.7,5.9,4,3.1,2.3,,,,,,,,,10,7.6,6.6,5.7,4.1,2.9,2.5,2,1.2,0.7,,,,,,,,,,,2.00E-03,2.00E-01,5.00E-03,2.00E+00,SE,,,,,I08
336,MIEDZESZYN,PL,52.5,21.18,80,2.7686 ,,,E,,,,,,,,,,,2,LOUTCH,346,BCN,01/01/1988,01/12/1988,365,11.5,L,0,23,Y,,,,,,,,,,68,53.8,45,35,23,15.9,12.4,8.9,6,4,3.2,2.3,,,,,,,,,12,8.2,6.6,4.8,3.3,2.2,1.8,1.3,0.8,,,,,,,,,,,,1.00E-03,1.00E-01,1.00E-03,1.00E-01,SE,,,,,I08
336,MIEDZESZYN,PL,52.5,21.18,80,2.7686 ,,,E,,,,,,,,,,,3,LOUTCH,346,BCN,01/01/1989,01/12/1989,365,11.5,L,0,23,Y,,,,,,,,,,86.4,67.9,61.7,47.2,34.1,23.4,15.3,10.5,6.8,4.3,3.2,2.2,,,,,,,,,,,19.3,12.4,7.9,4.8,3.6,2.6,1.7,1.1,0.8,0.5,,,,,,,,,2.00E-02,5.00E-01,3.00E-03,5.00E-01,SE,,,,,I08
336,MIEDZESZYN,PL,52.5,21.18,80,2.7686 ,,,E,,,,,,,,,,,4,LOUTCH,346,BCN,01/01/1987,01/12/1989,1095,11.5,L,0,23,Y,,,,,,,,,,64.6,50.1,42.6,32.9,22.3,14,10.8,7.9,5.3,3.4,2.6,,,,,,,,,,19.3,12.4,10.2,7.6,5,3.3,2.6,2,1.3,0.8,0.5,,,,,,,,,,,,,,ME,,,,,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
336,MIEDZESZYN,PL,52.25,21,110,2.8033 ,,,,,,,,,,,,,1,5,OLYMPUS,341,BCN,01/01/1992,31/12/1992,366,12.5,L,-26.2,20.52,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,12.5,8.7,5.5,3.2,2.5,1.8,1.4,,,,,,,,,,,,,,2.00E-03,1.00E-01,0E,,,,,Edited by C.Riva February 2004 digitally scanning the figure page 36 of OPEX Reference Book Vol. 1. Polarization tilt angle calculated by C.Riva and L.Castanet 31.08.2005
340,GOONHILLY,UK,50.05,354.83,107,2.1296 ,2,1,F,OFFSET-FED,1.4,FRONT-FED,N,19,27.4,,-30,16,1,1,INTELSAT 507,66,BCN,01/11/1987,31/10/1988,346,11.198,C,45,3.27,Y,290,0.5,14,0.041,DROP CONT.,2.6,47,18 M NE,E,56,49,42,34,27,21,18,14,11,6,4,2,1,,,,,,,,,,,,,13.2,12.1,10.8,9.2,7.8,7,6.1,5.5,4.1,3.6,3,2.3,,,,1.00E-01,1.00E+00,1.00E+00,1.00E+01,,,,,,classified as 'total attenuation' by L.Castanet C.Riva (Oct. 2005). very low elevation. multipath?. C.Riva L.Castanet (Oct. 2005)
340,GOONHILLY,UK,50.05,354.83,107,2.1296 ,2,1,F,OFFSET-FED,1.4,FRONT-FED,N,19,27.4,,-30,16,1,2,INTELSAT 507,66,BCN,01/11/1988,31/10/1989,357,11.198,C,45,3.27,Y,290,0.5,14,0.041,DROP CONT.,2.6,47,18 M NE,E,63,52,47,40,30,19,16,13,9,5,4,2,1,,,,,,,,,,,,,15.5,13.7,12,10.1,8.5,7.7,6.8,5.7,4.6,4.2,3.6,2.8,,,,2.00E-02,1.00E+00,2.00E-02,1.00E+01,,,,,,classified as 'total attenuation' by L.Castanet C.Riva (Oct. 2005). very low elevation. multipath?. C.Riva L.Castanet (Oct. 2005)
340,GOONHILLY,UK,50.05,354.83,107,2.1296 ,2,1,F,OFFSET-FED,1.4,FRONT-FED,N,19,27.4,,-30,16,1,3,INTELSAT 507,66,BCN,01/11/1989,31/10/1990,340,11.198,C,45,3.27,Y,290,0.5,14,0.041,DROP CONT.,2.6,47,18 M NE,E,60,51,45,37,30,21,18,15,12,8,5,3,1,,,,,,,,,,,,15.5,13.7,12.7,11.3,9.7,8,7.7,6.3,5.2,4.2,3.7,3.2,2.5,,,,2.00E-01,1.00E+00,3.00E-01,1.00E+01,,,,,,classified as 'total attenuation' by L.Castanet C.Riva (Oct. 2005). very low elevation. multipath?. C.Riva L.Castanet (Oct. 2005)
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,1,,,RDM,01/06/1968,31/07/1970,684,3.95,L,90,5,,275,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,1.7,1.5,1.3,1.2,1,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,2,,,RDM,01/01/1969,31/12/1970,668,11.75,L,90,5,,275,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,0,0,0,0,12.3,10.3,9.3,8,6.2,4.6,3.9,3.3,2.6,2.1,1.8,1.5,1.2,1,0.9,0.7,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,3,,,RDM,01/04/1969,31/03/1971,675,17,L,90,5,,275,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12.4,11.1,9.5,8,7.2,6.1,4.8,3.7,3.2,2.7,2.1,1.7,1.4,1.1,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,4,,,RDM,01/02/1970,31/07/1970,138,17,L,90,5,,275,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,11.6,9.2,7.2,6.3,5.2,4.1,3.3,2.9,2.5,2.1,1.7,1.5,1.1,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,5,,,RDM,01/02/1970,31/07/1970,138,17,L,90,5,,2.5,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,12.7,9.8,7.6,6.6,5.5,4.2,3.4,2.9,2.5,2.1,1.7,1.5,1.1,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,6,,,RDM,01/03/1970,31/12/1970,292,11.75,L,90,20,,275,,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,4.9,4.6,4.4,4.1,3.1,2.4,2.2,2,1.7,1.4,1.2,1.1,0.8,0.6,0.5,0.3,0.2,0.1,,,,,,,,,,,,
341,BACKWELL,UK,51.3,357.2,60,2.2585 ,2.5,1,F,FRONT FED,,HORN,N,,,,,,,7,,,RDM,01/05/1970,31/03/1971,304,17,L,90,20,,275,,7,0.1,,,,,T,,,,,,,,,0,,,,,,,,,,,,9.2,8.5,8.1,7.6,6.7,5.3,4.2,3.6,3.1,2.5,2.2,1.9,1.5,1.1,0.9,0.7,0.5,0.3,0.3,0.2,,,,,,,,,,
342,MADLEY,UK,52.03,357.16,83,2.1897 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,1,,,RDM,09/10/1978,08/10/1979,344,12.1,L,45,6,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,10.9,10.1,9.5,8.6,7.7,6.9,5.9,5.2,4.4,4,3.5,2.9,2.4,2.1,1.8,1.4,1.1,0.9,0.8,,,,,,,,,,
342,MADLEY,UK,52.03,357.16,83,2.1897 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,2,,,RDM,08/10/1979,08/10/1980,359,12.1,L,45,6,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,7,6.1,6,5.2,4.9,4.1,3.7,2.9,2.5,2,1.6,1.3,0.9,0.6,0.5,0.4,,,,,,,,,,
342,MADLEY,UK,52.03,357.16,83,2.1897 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,3,,,RDM,15/10/1980,14/10/1981,365,12.1,L,45,6,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.2,5.7,5.2,4.1,3.4,2.8,2.6,2.4,2.1,1.7,1.5,1.3,0.9,0.8,0.6,0.5,,,,,,,,,,
342,MADLEY,UK,52.03,357.16,83,2.1897 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,4,,,RDM,09/10/1978,14/10/1981,1028,12.1,L,45,6,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.6,5.9,5.2,4.4,3.8,3.4,3,2.5,2,1.8,1.5,1.2,0.9,0.8,0.6,,,,,,,,,,
343,GOONHILLY#2,UK,50.05,354.83,125,2.1296 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,1,,,RDM,01/11/1987,31/10/1988,346,11.2,C,45,3.3,,290,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,12,11.4,11.2,11,10.1,9.4,8.9,8.5,7.6,6.7,6.2,5.6,4.9,4.1,3.6,3.1,2.5,1.9,1.7,1.4,,,,,,,,,,
343,GOONHILLY#2,UK,50.05,354.83,125,2.1296 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,2,,,RDM,01/11/1988,31/10/1989,357,11.2,C,45,3.3,,289,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,12.5,12,11.3,10.3,9.4,8.7,7.8,6.9,5.9,5.4,4.7,3.9,3.2,2.9,2.4,2,1.7,1.5,1.4,,,,,,,,,,
343,GOONHILLY#2,UK,50.05,354.83,125,2.1296 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,3,,,RDM,01/11/1989,31/10/1990,340,11.2,C,45,3.3,,278,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,12.9,12.9,12.6,12.1,10.8,10.1,9.8,9,8,6.8,6,5.3,4.1,3.2,2.8,2.4,1.9,1.6,1.4,1.2,,,,,,,,,,
343,GOONHILLY#2,UK,50.05,354.83,125,2.1296 ,2,1,F,FRONT FED,1.83,HORN,N,,,,,,1,4,,,RDM,01/11/1987,31/10/1990,1043,11.2,C,45,3.3,,290,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,12,11.6,11.2,10.6,9.8,9.1,8.7,8.1,7.3,6.3,5.8,5.1,4.3,3.5,3.1,2.7,2.1,1.7,1.5,1.4,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,1,,,RDM,01/04/1987,31/03/1988,366,12.1,L,45,13.5,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,12,10.5,9.7,8.7,6.6,5.3,4.6,4.1,3.5,2.7,2.4,2,1.6,1.3,1.1,0.9,0.7,0.6,0.6,0.4,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,2,,,RDM,01/04/1988,31/03/1989,362,12.1,L,45,13.5,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,10.4,8.4,7.6,6.2,5.1,3.9,3.4,3,2.3,1.9,1.7,1.5,1.2,1,0.8,0.8,0.6,0.5,0.5,0.4,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,3,,,RDM,01/04/1987,31/03/1989,728,12.1,L,45,13.5,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,10.7,9.9,9.2,7.7,5.9,4.8,4.2,3.6,3,2.4,2.1,1.8,1.5,1.1,1,0.8,0.7,0.6,0.5,0.4,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,4,,,RDM,01/04/1987,31/03/1988,366,12.1,L,45,29.8,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,6.9,6.3,5.8,5.2,3.8,3.1,2.8,2.4,1.9,1.5,1.3,1.2,0.9,0.8,0.7,0.6,0.4,0.4,0.4,0.2,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,5,,,RDM,01/04/1988,31/03/1989,351,12.1,L,45,29.8,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,6.6,5.1,4.4,3.9,3.2,2.4,2.1,1.8,1.5,1.2,1.1,0.9,0.8,0.6,0.5,0.5,0.5,0.4,0.4,0.4,,,,,,,,,,
344,LONDON,UK,51.5,0.06,3,2.4476 ,2,1,E,FRONT FED,1.83,HORN,N,,,,,,1,6,,,RDM,01/04/1987,31/03/1989,717,12.1,L,45,29.8,,275,10,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,6.9,6,5.3,4.4,3.5,3,2.5,2.1,1.7,1.4,1.2,1,0.9,0.7,0.6,0.5,0.5,0.4,0.4,0.3,,,,,,,,,,
345,MARTLESHAM#2,UK,52.06,1.29,20,2.1770 ,6,0.21,E,OFF-SET C.,6.1,HORN,N,,,,,,1,1,,,RDM,01/07/1973,31/03/1974,161,17,L,90,5,,275,0.5,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,11,10,9,8.5,7.9,6.9,6,5.4,4.7,4,3,2.8,2.2,2,1.6,1.4,1.2,,,,,,,,,,
346,MARTLESHAM#3,UK,52.06,1.29,20,2.1770 ,2.5,1.8,E,FRONT-FED,0.6,HORN,N,,,,,,1,1,,,RDM,01/08/1975,31/07/1976,254,20,L,66.4,22.7,,275,0.5,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,8.5,7.5,6.2,4.8,4,3.5,2.9,2.5,2.3,2,1.7,1.5,1.4,1.1,,,,,,,,,,
346,MARTLESHAM#3,UK,52.06,1.29,20,2.1770 ,2.5,1.8,E,FRONT-FED,0.6,HORN,N,,,,,,1,2,,,RDM,01/10/1978,30/09/1979,330,20,L,78.2,29.9,,275,0.5,7,0.1,,,,,T,,,,,,,,,,,,,,,,,,,,,,12.1,10.7,8.9,7.1,5.3,4.7,4.3,3.8,3.3,3.1,2.8,2.3,2,1.8,1.6,1.4,1.1,0.9,0.6,,,,,,,,,,
